Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,139.75,-79.25,90,top
C2,2.2uF,C_0603_1608Metric,133.25,-84,0,top
C3,2.2uF,C_0603_1608Metric,137.75,-100.25,180,top
C4,2.2uF,C_0603_1608Metric,134.25,-107.75,180,top
C5,2.2uF,C_0603_1608Metric,121.75,-92.25,270,top
C6,2.2uF,C_0603_1608Metric,131.25,-95.75,270,top
C7,2.2uF,C_0603_1608Metric,137.75,-90.25,180,top
C8,2.2uF,C_0603_1608Metric,134.25,-97.75,180,top
C9,1nF,C_0603_1608Metric,131.25,-102.25,270,top
C10,2.2uF,C_0603_1608Metric,151,-94,90,top
C11,2.2uF,C_0603_1608Metric,137.75,-110.25,180,top
C12,2.2uF,C_0603_1608Metric,134.25,-117.75,180,top
C13,2.2uF,C_0603_1608Metric,122.25,-104.5,270,top
C14,2.2uF,C_0603_1608Metric,149,-119.25,90,top
C15,22uF,C_0603_1608Metric,132.75,-119.75,0,top
C16,22uF,C_0603_1608Metric,136,-119.75,0,top
C17,22uF,C_0603_1608Metric,139.25,-119.75,0,top
C18,2.2uF,C_0603_1608Metric,151,-107.275,270,top
C19,100pF,C_0603_1608Metric,131.25,-105.75,90,top
D1,4148,D_SOD-323,124,-86,270,top
FB1,C185888,L_0603_1608Metric,141.5,-79.25,90,top
FB2,C185888,L_0603_1608Metric,133.25,-85.75,0,top
FB3,C185888,L_0603_1608Metric,134.25,-100.25,0,top
FB4,C185888,L_0603_1608Metric,137.75,-107.75,0,top
FB5,C185888,L_0603_1608Metric,121.75,-95.75,90,top
FB6,C185888,L_0603_1608Metric,131.25,-92.25,90,top
FB7,C185888,L_0603_1608Metric,134.25,-90.25,0,top
FB8,C185888,L_0603_1608Metric,137.75,-97.75,0,top
FB9,C185888,L_0603_1608Metric,151,-90.5,270,top
FB10,C185888,L_0603_1608Metric,141.5,-94,90,top
FB11,C185888,L_0603_1608Metric,134.25,-110.25,0,top
FB12,C185888,L_0603_1608Metric,137.75,-117.75,0,top
FB13,C185888,L_0603_1608Metric,151,-97.5,90,top
FB14,C185888,L_0603_1608Metric,124,-104.5,90,top
FB15,C185888,L_0603_1608Metric,151,-110.5375,90,top
Q1,5551,SOT-23,146.25,-123,90,top
R1,10K,R_0603_1608Metric,121.75,-86,270,top
R2,10K,R_0603_1608Metric,126.25,-86,90,top
R3,3KP,R_0603_1608Metric,128.25,-86,90,top
R4,9K0P,R_0603_1608Metric,133.25,-76.5,180,top
R5,20KP,R_0603_1608Metric,133.25,-74.75,0,top
R6,10KP,R_0603_1608Metric,136.75,-74.75,0,top
R7,10KP,R_0603_1608Metric,136.75,-76.5,180,top
R8,10K,R_0603_1608Metric,140.75,-102.75,90,top
R9,1K,R_0603_1608Metric,140.75,-105.75,90,top
R10,1K,R_0603_1608Metric,140.75,-114,90,top
R11,10R,R_0603_1608Metric,125.75,-104.5,90,top
R12,2K0,R_0603_1608Metric,149,-123,90,top
R13,6K2,R_0603_1608Metric,143.5,-119.25,90,top
R14,1K,R_0603_1608Metric,143.5,-123,270,top
R15,10R,R_0603_1608Metric,139.25,-121.75,0,top
R16,10R,R_0603_1608Metric,136,-121.75,0,top
R17,10R,R_0603_1608Metric,132.75,-121.75,0,top
R18,12K,R_0603_1608Metric,131.25,-114,90,top
R19,3K3,R_0603_1608Metric,151,-119.25,90,top
R20,4K7,R_0603_1608Metric,129.5,-114,270,top
R21,10R,R_0603_1608Metric,118.25,-95.75,270,top
R22,10R,R_0603_1608Metric,152.75,-94,270,top
RN1,LT5400-1,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,146.25,-86.25,0,top
U1,OPA2197,SOIC-8_3.9x4.9mm_P1.27mm,135,-80.25,0,top
U2,LV4053,SOIC-16_3.9x9.9mm_P1.27mm,146.25,-94,0,top
U3,DG408,SOIC-16_3.9x9.9mm_P1.27mm,126.5,-94,180,top
U5,74HC74,SOIC-14_3.9x8.7mm_P1.27mm,146.25,-110.25,0,top
U6,OPA2197,SOIC-8_3.9x4.9mm_P1.27mm,136,-104,0,top
U7,OPA197,SOIC-8_3.9x4.9mm_P1.27mm,136,-94,0,top
U8,LM311,SOIC-8_3.9x4.9mm_P1.27mm,136,-114,0,top
U9,TL431,SOT-23,146.25,-119.25,90,top
